"Activity"	"Subject"	"tbodyaccmeanx"	"tbodyaccmeany"	"tbodyaccmeanz"	"tbodyaccstdx"	"tbodyaccstdy"	"tbodyaccstdz"	"tgravityaccmeanx"	"tgravityaccmeany"	"tgravityaccmeanz"	"tgravityaccstdx"	"tgravityaccstdy"	"tgravityaccstdz"	"tbodyaccjerkmeanx"	"tbodyaccjerkmeany"	"tbodyaccjerkmeanz"	"tbodyaccjerkstdx"	"tbodyaccjerkstdy"	"tbodyaccjerkstdz"	"tbodygyromeanx"	"tbodygyromeany"	"tbodygyromeanz"	"tbodygyrostdx"	"tbodygyrostdy"	"tbodygyrostdz"	"tbodygyrojerkmeanx"	"tbodygyrojerkmeany"	"tbodygyrojerkmeanz"	"tbodygyrojerkstdx"	"tbodygyrojerkstdy"	"tbodygyrojerkstdz"	"tbodyaccmagmean"	"tbodyaccmagstd"	"tgravityaccmagmean"	"tgravityaccmagstd"	"tbodyaccjerkmagmean"	"tbodyaccjerkmagstd"	"tbodygyromagmean"	"tbodygyromagstd"	"tbodygyrojerkmagmean"	"tbodygyrojerkmagstd"	"fbodyaccmeanx"	"fbodyaccmeany"	"fbodyaccmeanz"	"fbodyaccstdx"	"fbodyaccstdy"	"fbodyaccstdz"	"fbodyaccmeanfreqx"	"fbodyaccmeanfreqy"	"fbodyaccmeanfreqz"	"fbodyaccjerkmeanx"	"fbodyaccjerkmeany"	"fbodyaccjerkmeanz"	"fbodyaccjerkstdx"	"fbodyaccjerkstdy"	"fbodyaccjerkstdz"	"fbodyaccjerkmeanfreqx"	"fbodyaccjerkmeanfreqy"	"fbodyaccjerkmeanfreqz"	"fbodygyromeanx"	"fbodygyromeany"	"fbodygyromeanz"	"fbodygyrostdx"	"fbodygyrostdy"	"fbodygyrostdz"	"fbodygyromeanfreqx"	"fbodygyromeanfreqy"	"fbodygyromeanfreqz"	"fbodyaccmagmean"	"fbodyaccmagstd"	"fbodyaccmagmeanfreq"	"fbodybodyaccjerkmagmean"	"fbodybodyaccjerkmagstd"	"fbodybodyaccjerkmagmeanfreq"	"fbodybodygyromagmean"	"fbodybodygyromagstd"	"fbodybodygyromagmeanfreq"	"fbodybodygyrojerkmagmean"	"fbodybodygyrojerkmagstd"	"fbodybodygyrojerkmagmeanfreq"	"angletbodyaccmean,gravity"	"angletbodyaccjerkmean,gravitymean"	"angletbodygyromean,gravitymean"	"angletbodygyrojerkmean,gravitymean"	"anglex,gravitymean"	"angley,gravitymean"	"anglez,gravitymean"	"subject"
"1"	"LAYING"	"1"	0.22159824394	-0.0405139534294	-0.11320355358	-0.9280564692	-0.83682740562	-0.826061401628	-0.9321111728	-0.84091058864	-0.82176998216	-0.9062060304	-0.50155399396	-0.702558042	0.74306899108	0.5848976723	0.75773578404	-0.842018280168	-0.9835018098	-0.948096523348	-0.9051667964	-0.9398550146	-0.87720402952	-0.82321252682	-0.372230682194	-0.49116701316	-0.40198004578	0.042987845004	0.005230114486	-0.0323307491374	0.14656522416	0.17603638864	-0.104318251058	0.1841656711	0.01050049128	0.209115341935	-0.121908135732	0.09054431328	0.002393975758	-0.0408910604706	-0.0093252039692	-0.023365945138	-0.24888179828	0.70554977346	0.4458177198	-0.8968300184	-0.90772000676	-0.85236629022	-0.899296135	-0.90993878264	-0.85496697974	-0.28037369606	0.6851134531	0.4693929762	-0.236157682494	0.6921133129	0.4138740328	0.24817268954	-0.9074593992	0.164573517502	-0.31990904246	-0.9063836258	-0.91562685234	-0.86254660074	-0.517831684132	-0.55439837582	-0.580145994642	-0.5936727904	0.6091290172	-0.6245765304	0.6401484404	-0.385390085586	0.350315681568	-0.355578328832	0.37825803756	-0.542024096944	0.556812091134	-0.571246185672	0.58256298342	-0.08459195868	-0.07809749428	-0.20911768088	0.0810865342	0.0038382040088	0.010834236361	-0.958482112	-0.9241492736	-0.9548551108	NA
"2"	"SITTING"	"1"	0.261237565425532	-0.00130828765170213	-0.104544182255319	-0.977229008297872	-0.922618641914894	-0.93958629106383	-0.979514584468085	-0.919658954042553	-0.938834141702128	-0.927478156170213	-0.51735077593617	-0.786367285319149	0.820265045957447	0.682775776170213	0.822189592553191	-0.945740773404255	-0.997501779361702	-0.989863580425532	-0.986834701276596	-0.983227877659574	-0.932031700638298	-0.942854698510638	-0.594065364617021	-0.39939032487234	-0.521304053	0.152455853085106	-0.0594168140489362	0.0410396568	-0.00412059408510638	0.1686773395	-0.129112633042553	0.185128001391489	-0.116976239070213	0.258878962361702	-0.117149009078511	0.0850768219944681	-0.0227195913574468	-0.402862625829787	-0.201194422908511	0.118261863640426	0.831509933404255	0.204411592680851	0.332043702765957	-0.968457145744681	-0.935517055957447	-0.949040933191489	-0.969340963829787	-0.93768045893617	-0.950070108510638	0.76845271893617	0.188173388702128	0.331910236382979	0.843385717021277	0.205339023787234	0.321842866808511	0.225336937808511	0.574696193021277	-0.879533994893617	-0.779082066170213	-0.971931619574468	-0.943735509574468	-0.95370402787234	-0.686008594704255	-0.489424264738298	-0.626438336276596	-0.530311369553191	0.542945451276596	-0.555471943829787	0.568020149361702	-0.461273986389362	0.414006838514894	-0.401079185042553	0.403734667425532	-0.4490019039	0.466639344	-0.483987104191489	0.498420170510638	-0.739178269361702	-0.497453950340426	0.301419345319149	0.0774825199574468	-0.000619102785106384	-0.00336779235021277	-0.986430711276596	-0.981371965319149	-0.987910804468085	NA
"3"	"STANDING"	"1"	0.278917629056604	-0.0161375901037736	-0.110601817735849	-0.995759901509434	-0.973190056415094	-0.979775876981132	-0.996141353962264	-0.971758757169811	-0.979317499056604	-0.939289253207547	-0.560940620754717	-0.812804122641509	0.848946458679245	0.684994965849057	0.837719699245283	-0.984382640377358	-0.999946745660377	-0.999302946415094	-0.998956617924528	-0.996204860566038	-0.973516449056604	-0.978599930377358	-0.653732516603774	-0.562677675679245	-0.589450454150943	0.297424408301887	-0.145505504188679	0.113641825830189	0.0807014957641509	0.185333378811321	-0.1383467407	0.190322101056604	-0.0157716731830189	0.2798850462	-0.127876725803774	0.116846825947736	-0.10391130370566	0.128398753090566	-0.00543277440754717	0.288310475754717	0.942952000377358	-0.272983832264151	0.0134905823226415	-0.99376298509434	-0.981225957924528	-0.976324063584906	-0.993810088113208	-0.981211152075472	-0.977041427924528	0.870122118867925	-0.288332920943396	0.00970054607320755	0.961168260943396	-0.248024904528302	0.00938141516471698	-0.243890063075472	0.846175155471698	-0.861761176226415	-0.994856861886792	-0.993978435660377	-0.981285212075472	-0.97835670754717	-0.886328097169811	-1	-0.852190776283019	-0.383272814760377	0.404326137754717	-0.425421403641509	0.446657694849057	-0.393991998803774	0.35069500654717	-0.346655733150943	0.359977633	-0.392890944003774	0.408391011128302	-0.423744830150943	0.436448895716981	0.472574716981132	0.13784962990566	0.46985826	0.0753766542264151	0.00797573092830189	-0.00368524954709434	-0.994604542264151	-0.98564873245283	-0.992251177358491	NA
"4"	"WALKING"	"1"	0.26949926777027	-0.0197363491291216	-0.106189702351351	-0.309154391351351	0.0726408982777027	-0.173885475465541	-0.362949624864865	0.0424251910756757	-0.147664925806757	-0.123294720591622	-0.0725461304568919	-0.221346934258108	0.162096408902703	0.0379323707614865	0.438890911486486	-0.115387433266216	-0.757028236554054	-0.774844807364865	-0.682598853716216	-0.450057639864865	-0.260937601388581	-0.136203811891892	0.384565654054054	0.397857988918919	0.0248767711894595	-0.402799749898649	0.380693464466081	-0.181626572448649	0.099421822152027	-0.224670560441216	0.193452014029527	0.122013941805405	-0.0198516630506757	-0.244155740758784	0.217517633996351	-0.0586879022461487	-0.171696536532365	-0.2309714137355	-0.18613603639527	0.301928411535811	0.920228461554054	-0.310809495472973	-0.0707170803175676	-0.969360598108108	-0.964696457432432	-0.93506246777027	-0.970249891959459	-0.965306612094595	-0.937271373243243	0.856618243040541	-0.319269608040541	-0.0622785707932432	0.929497329121622	-0.290139200743243	-0.0841928741756757	-0.0859341609138514	0.787780031418919	-0.830094684391892	-0.985460863175676	-0.971968914662162	-0.967054011824324	-0.943956525675676	-0.530819614398649	-1	-0.995191750472973	-0.421824497513514	0.491673848581081	-0.559203978716216	0.62434257445946	-0.158169313312162	0.200830434509459	-0.301793135224324	0.422281088621622	-0.407065279475676	0.427385613878378	-0.445961833947297	0.460202372187162	0.420962996628378	-0.159242152039189	0.11679413892973	0.0838291206141892	0.0251258426668919	-0.0189919828864865	-0.232947353252703	-0.0924547770743243	-0.575715790878378	NA
"5"	"WALKING_DOWNSTAIRS"	"1"	0.289188320408163	-0.00991850461020408	-0.107566190908163	0.0300353383483878	-0.0319359434489796	-0.230434213204082	-0.0441172244571429	-0.107395631427551	-0.212040083591837	0.388969738367347	-0.095283959644898	-0.316749443930204	0.015681414244898	-0.0437259707591837	0.304574350938775	0.00799898705102041	-0.463124815306122	-0.81285224755102	-0.724291495306122	-0.22478937955102	-0.398996825510204	-0.205787239326531	0.236703360632653	0.37616076122449	0.169733414920408	-0.394878584122449	0.367594986693878	-0.310025981922449	0.276300963816327	-0.121436208734694	0.155332861145102	0.0866824709163265	0.0376716936836735	0.0803750281693878	0.0877777831326531	0.0291598331140816	-0.291398957528571	-0.454243120816327	-0.225544974216327	0.0756845059489796	0.931874418979592	-0.266610338979592	-0.0621199585938775	-0.950559811632653	-0.937018658979592	-0.895939695102041	-0.951425748163265	-0.937871758163265	-0.897914718979592	0.875865664081633	-0.269610437346939	-0.0464827635716327	0.935563321428571	-0.255517232653061	-0.086297714	-0.206320981041224	0.817406767346939	-0.879004752857143	-0.987619062040816	-0.952715699183673	-0.940913804081633	-0.907257556530612	-0.44475912222449	-1	-0.980412705714286	-0.571349235306122	0.630488241836735	-0.688477935510204	0.745318365102041	-0.210337386122449	0.230730429918367	-0.306573348142449	0.403120417755102	-0.204295249612245	0.223435974563265	-0.241356826059184	0.255841586905918	0.229494336061224	-0.297445343530612	0.10130462455102	0.0541553164897959	0.0296504490408163	-0.0109719730183673	-0.012283860544898	-0.101601390640816	-0.345735032326531	NA
"6"	"LAYING"	"2"	0.281373403958333	-0.0181587397583333	-0.107245610416667	-0.974059464791667	-0.98027739875	-0.984233296875	-0.976606966458333	-0.980963747291667	-0.984844731458333	-0.918792223541667	-0.562922494375	-0.811239590833333	0.821333087083333	0.683942196458333	0.838955082083333	-0.977681890625	-0.998712742291667	-0.999637563333333	-0.999349610625	-0.979970157916667	-0.985124292916667	-0.984509167708333	-0.365240315729167	-0.64894749125	-0.531906502645833	0.0542643544854167	-0.0342332338791667	-0.0110161439029167	0.075290978403125	0.298941607291667	-0.171373589208333	0.2356243049375	-0.0245233714625	0.364322084541667	-0.159101984522917	0.176129899039583	-0.124408564166667	0.0398836408333333	-0.199788468904167	-0.248458834006667	-0.509754238125	0.752536639375	0.646834879583333	-0.959014441458333	-0.988211865208333	-0.984230418125	-0.962074936458333	-0.988574231875	-0.984594021666667	-0.557152069166667	0.70821189375	0.636297803333333	-0.469052540208333	0.764376011041667	0.644932617291667	0.2705147836875	-0.980468403541667	0.147438333125	-0.183892581	-0.968257117291667	-0.98995767625	-0.985215197708333	-0.808533114875	-0.804117193041667	-0.687611357770833	-0.584101340208333	0.592162118125	-0.60006914875	0.607971194166667	-0.208670150229167	0.160945588454167	-0.165059560922917	0.191708345741667	-0.271551733785417	0.289946464827083	-0.308234634202083	0.324092915666667	0.2156080059375	-0.308245417	-0.563200740208333	0.0825972511666667	0.012254788451875	-0.00180264895625	-0.98587216875	-0.98317254125	-0.988442014375	NA
"7"	"SITTING"	"2"	0.27708735173913	-0.0156879937282609	-0.109218272456522	-0.986822279565217	-0.950704499130435	-0.95982817173913	-0.988594493695652	-0.951537807173913	-0.958942750434783	-0.926683676304348	-0.544435806304348	-0.800573029130435	0.83944400826087	0.674028159782609	0.826309457391304	-0.966980349782609	-0.999241644565217	-0.996521418913043	-0.994052473478261	-0.991487382826087	-0.962625605434783	-0.958168110217391	-0.607037765652174	-0.457042084717391	-0.415597585869565	0.274764831152174	-0.1234873796	0.0820047986478261	0.114170112521739	0.176580528906522	-0.12420554726087	0.201417684758696	-0.0445898677	0.191536655108696	-0.100798853813043	0.0377418439130435	-0.0397869970869565	-0.159937674673913	-0.268153719565217	0.256453039862826	0.940477273043478	-0.105630024498783	0.19872676876087	-0.979988760869565	-0.956750273043478	-0.954415873043478	-0.981169301521739	-0.959359287173913	-0.955709075869565	0.870587756956522	-0.114777271347826	0.201170706086957	0.950714034347826	-0.0898988765652174	0.191642851630435	-0.271070080217391	0.840362822826087	-0.978350845652174	-0.90308901173913	-0.985018895869565	-0.967219263695652	-0.960708292608696	-0.866774604673913	-0.949873141086957	-0.522695788478261	-0.410140565108696	0.437457424978261	-0.46491264326087	0.492596717826087	-0.500520531726087	0.475455904069565	-0.483447908776087	0.505593871369565	-0.504226633413044	0.51318526426087	-0.521841446543478	0.527540918978261	-0.269747227326087	-0.486664063652174	0.538687011956522	0.0722564387173913	0.0116954511323913	0.00760546929869565	-0.988055854130435	-0.977983955434783	-0.98751821173913	NA
"8"	"STANDING"	"2"	0.277911472222222	-0.0184208270166667	-0.105908536055556	-0.987271889259259	-0.957304989259259	-0.949741851296296	-0.98934137	-0.957543717037037	-0.94760257	-0.926344519259259	-0.549563718148148	-0.787788226851852	0.833698080925926	0.673386829814815	0.828659836666667	-0.965375535555556	-0.999705046666667	-0.998935624814815	-0.99460706537037	-0.991624249074074	-0.965560857222222	-0.948583715925926	-0.527999633407407	-0.505586968333333	-0.446054261333333	0.247989408574074	-0.0756957018166667	0.0368231465462963	0.0376910751222222	0.0669120089112963	-0.0573481512425926	0.176126990322222	-0.0924881885925926	0.18235955977037	-0.119120139333333	0.128329918990741	-0.138534155481481	0.281888797981481	0.0665274675074074	0.384642653314815	0.896928566851852	-0.370062696851852	0.129747161222222	-0.986685818703704	-0.97419442037037	-0.945927078703704	-0.986895012962963	-0.974806122222222	-0.947922742777778	0.826732693518519	-0.380529980185185	0.129645950037037	0.913570337222222	-0.34605691462963	0.11519525245037	0.158422912481481	0.728349482962963	-0.756286182777778	-0.963757028703704	-0.987721785	-0.977032637222222	-0.955777678148148	-0.757442729779667	-1	-0.453831075105556	-0.370277771888889	0.387816928388889	-0.405454711166667	0.423298317981481	-0.434275034388889	0.393407970003704	-0.389221846551852	0.401313067462963	-0.503979640537037	0.512760935722222	-0.521274890111111	0.526869881592593	0.674947212777778	0.334620620814815	0.611669641011111	0.0747588597592593	0.0103291774794444	-0.00837158846722222	-0.981085715555556	-0.97105943962963	-0.982841446481482	NA
"9"	"WALKING"	"2"	0.263299799429907	-0.0198587075586916	-0.126590544831776	-0.37014014	0.00540117279719626	-0.284785074659813	-0.416178766915888	-0.0154828658133645	-0.294033847307477	-0.123133270364486	-0.0864024085	-0.360319831308411	0.303291064271028	0.0292571812014019	0.365552708235514	-0.200268236850467	-0.795672518691589	-0.799860796635514	-0.743622357570093	-0.516032145233645	-0.258800903095327	-0.353174635691589	0.297218443588785	0.34499690377757	0.132805049341215	-0.229864328750467	0.266581022873271	-0.238859217491776	0.193204465600935	-0.16275449276729	0.226499558126168	-0.0254513549696262	0.02107145525	-0.183884831820561	0.162976465198131	-0.0469752700616822	-0.0326383486925234	-0.339184879775701	-0.198500802430841	0.284675486042056	0.858153820186916	-0.377833019158879	-0.0411564236149533	-0.955518414859813	-0.950427417570093	-0.929873763925234	-0.956462890560748	-0.951481311682243	-0.932358087009346	0.799775138037383	-0.380034052990654	-0.030829885771028	0.863438707850467	-0.360306427383178	-0.0541717490373832	0.168015503850467	0.63762510588785	-0.743097680560748	-0.896071950373832	-0.958849704392523	-0.954209250093458	-0.939223820093458	-0.294699948196262	-1	-0.502215917638318	-0.494204080299065	0.55065181364486	-0.605659127009346	0.659215918878505	-0.156657253633645	0.163842279153271	-0.227446363605607	0.311499977563551	-0.470530323149533	0.510890866728972	-0.550106157046729	0.58534460317757	0.342770587273832	-0.0419222498691589	-0.112186370990654	0.0674795676448598	0.00570685757869159	0.0130928408495327	-0.276898577996262	-0.0924362779757009	-0.580552893831776	NA
"10"	"WALKING_DOWNSTAIRS"	"2"	0.27761534806383	-0.0226614158361702	-0.116812942382979	0.0463666814446808	0.262881788951064	-0.10283790806383	-0.0627127618723404	0.206997256429787	-0.118190945212766	0.514219680638298	0.16616104183617	-0.233185062425532	0.152424961957447	-0.15310112323617	0.165005244710638	0.106830196085106	-0.442842739148936	-0.686727264468085	-0.617498609148936	-0.357529326702128	-0.144548046112766	-0.191592563148936	0.0785968326659574	0.388665697446809	0.235278775404255	-0.236356612991489	0.221909980914894	-0.177685386063489	0.249360961795745	-0.111592149367021	0.123361148080851	0.106817567819149	0.0589331203531915	-0.0413028960170213	0.0965310679574468	0.0416079317914894	-0.0689040194744681	-0.635129255106383	-0.247933472419149	0.162723854808511	0.861831345531915	-0.325780100638298	-0.0438890162723404	-0.940361759574468	-0.940068525531915	-0.931438313191489	-0.940392785744681	-0.940555872340425	-0.932341935744681	0.809803481276596	-0.327251132978723	-0.0369105076489362	0.864411659361702	-0.31218046106383	-0.0581808688446809	0.0854856612255319	0.641964147659574	-0.815436938723404	-0.909737832978723	-0.941966406595745	-0.942846135744681	-0.936192329361702	-0.160476241655319	-1	-0.466614094510638	-0.511788068297872	0.579217206808511	-0.645711034893617	0.711250664893617	-0.236375435638298	0.261692435574468	-0.340674551574468	0.439263004255319	-0.284251839085106	0.327368329489362	-0.369490685085106	0.408117656297872	0.372638460382979	0.0255011033191489	0.0451822640425532	0.110040615569574	-0.00327959081489362	-0.0209351677765957	0.147249143238298	0.126828014557447	-0.340122023191489	NA
